Subject,Start Date,Start Time,End Time
Finance: Portfolio Analysis,1/26/2022,8:30 AM,9:45 AM
Community Period,1/26/2022,9:50 AM,10:30 AM
Woodworking II*,1/26/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),1/26/2022,11:55 AM,1:55 PM
Calculus I*,1/26/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,2/01/2022,8:30 AM,9:45 AM
Community Period,2/01/2022,9:50 AM,10:30 AM
Woodworking II*,2/01/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),2/01/2022,11:55 AM,1:55 PM
Calculus I*,2/01/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,2/07/2022,8:30 AM,9:45 AM
Community Period,2/07/2022,9:50 AM,10:30 AM
Woodworking II*,2/07/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),2/07/2022,11:55 AM,1:55 PM
Calculus I*,2/07/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,2/11/2022,8:30 AM,9:45 AM
Community Period,2/11/2022,9:50 AM,10:30 AM
Woodworking II*,2/11/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),2/11/2022,11:55 AM,1:55 PM
Calculus I*,2/11/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,2/17/2022,8:30 AM,9:45 AM
Community Period,2/17/2022,9:50 AM,10:30 AM
Woodworking II*,2/17/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),2/17/2022,11:55 AM,1:55 PM
Calculus I*,2/17/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,2/25/2022,8:30 AM,9:45 AM
Community Period,2/25/2022,9:50 AM,10:30 AM
Woodworking II*,2/25/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),2/25/2022,11:55 AM,1:55 PM
Calculus I*,2/25/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,3/03/2022,8:30 AM,9:45 AM
Community Period,3/03/2022,9:50 AM,10:30 AM
Woodworking II*,3/03/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),3/03/2022,11:55 AM,1:55 PM
Calculus I*,3/03/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,3/09/2022,8:30 AM,9:45 AM
Community Period,3/09/2022,9:50 AM,10:30 AM
Woodworking II*,3/09/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),3/09/2022,11:55 AM,1:55 PM
Calculus I*,3/09/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,3/15/2022,8:30 AM,9:45 AM
Community Period,3/15/2022,9:50 AM,10:30 AM
Woodworking II*,3/15/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),3/15/2022,11:55 AM,1:55 PM
Calculus I*,3/15/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,3/21/2022,8:30 AM,9:45 AM
Community Period,3/21/2022,9:50 AM,10:30 AM
Woodworking II*,3/21/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),3/21/2022,11:55 AM,1:55 PM
Calculus I*,3/21/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,4/05/2022,8:30 AM,9:45 AM
Community Period,4/05/2022,9:50 AM,10:30 AM
Woodworking II*,4/05/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),4/05/2022,11:55 AM,1:55 PM
Calculus I*,4/05/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,4/11/2022,8:30 AM,9:45 AM
Community Period,4/11/2022,9:50 AM,10:30 AM
Woodworking II*,4/11/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),4/11/2022,11:55 AM,1:55 PM
Calculus I*,4/11/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,4/19/2022,8:30 AM,9:45 AM
Community Period,4/19/2022,9:50 AM,10:30 AM
Woodworking II*,4/19/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),4/19/2022,11:55 AM,1:55 PM
Calculus I*,4/19/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,4/25/2022,8:30 AM,9:45 AM
Community Period,4/25/2022,9:50 AM,10:30 AM
Woodworking II*,4/25/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),4/25/2022,11:55 AM,1:55 PM
Calculus I*,4/25/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,4/29/2022,8:30 AM,9:45 AM
Community Period,4/29/2022,9:50 AM,10:30 AM
Woodworking II*,4/29/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),4/29/2022,11:55 AM,1:55 PM
Calculus I*,4/29/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,5/05/2022,8:30 AM,9:45 AM
Community Period,5/05/2022,9:50 AM,10:30 AM
Woodworking II*,5/05/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),5/05/2022,11:55 AM,1:55 PM
Calculus I*,5/05/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,5/11/2022,8:30 AM,9:45 AM
Community Period,5/11/2022,9:50 AM,10:30 AM
Woodworking II*,5/11/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),5/11/2022,11:55 AM,1:55 PM
Calculus I*,5/11/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,5/17/2022,8:30 AM,9:45 AM
Community Period,5/17/2022,9:50 AM,10:30 AM
Woodworking II*,5/17/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),5/17/2022,11:55 AM,1:55 PM
Calculus I*,5/17/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,5/23/2022,8:30 AM,9:45 AM
Community Period,5/23/2022,9:50 AM,10:30 AM
